id,date,time,user_raw,venue_raw,venue_norm,purpose,headcount,amount,per_person,method,year_month,hour,flags
2025-06-x-e026d2,2025-06-02,12:37:25,부의장,토담마을,토담마을,지역현안 논의에 따른 유관기관 관계자 간담회,6,148000,24666.666666666668,카드,2025-06,12,seq_corrupt
2025-06-2-0cc59c,2025-06-02,12:48:04,부의장,스타벅스코리아,스타벅스코리아,지역민원 및 현안 논의에 따른 관계자 간담회,5,23500,4700,카드,2025-06,12,
2025-06-3-dd70b5,2025-06-02,12:53:47,부의장,스타벅스코리아,스타벅스코리아,지역민원 및 현안 논의에 따른 관계자 간담회,2,7100,3550,카드,2025-06,12,
2025-06-4-2acf66,2025-06-02,21:09:50,의장,사조회참치장한평점,사조회참치장한평점,현안 관련 관계자 간담회,7,147000,21000,카드,2025-06,21,
2025-06-5-ff5d6e,2025-06-04,18:36:54,의장,사조회참치장한평점,사조회참치장한평점,관련 유관기관 관계자 간담회 민원 및 현안,15,296000,19733.333333333332,카드,2025-06,18,
2025-06-6-86246b,2025-06-04,21:41:25,운영위원장,우리곱창,우리곱창,민원 현안 관련 관계자 간담회 및,4,88000,22000,카드,2025-06,21,
2025-06-7-661f80,2025-06-09,12:31:28,복지건설위원장,스타벅스코리아,스타벅스코리아,관계자 간담회 현안 관련,,49200,,카드,2025-06,12,headcount_invalid
2025-06-8-09bad4,2025-06-09,18:35:23,의장,나누리 흑염소 전문,나누리흑염소전문,현안 관련 관계자 간담회,3,93000,31000,카드,2025-06,18,
2025-06-9-4831af,2025-06-09,20:01:57,복지건설위원장,동강오리,동강오리,현안업무 추진 사무국 직원 격려 간담회,3,76000,25333.333333333332,카드,2025-06,20,
2025-06-10-3e0106,2025-06-10,11:51:41,의장,경성농장,경성농장,민원 및 관련 유관기관 관계자 간담회 현안,18,276000,15333.333333333334,카드,2025-06,11,
2025-06-11-80f4cd,2025-06-10,12:07:07,의장,메가엠지씨커피 동대,메가엠지씨커피동대,및 관련 유관기관 민원 현안 관계자 간담회,18,56000,3111.1111111111113,카드,2025-06,12,
