id,date,time,year_month,weekday,hour,user_raw,venue_raw,venue_norm,purpose,headcount,amount,per_person,method,category,is_late_night,is_weekend,flags
2021-01-13-a468f0,2021-01-16,12:08:55,2021-01,6,12,의사담당,전주콩나물국밥,전주콩나물국밥,제326회 임시회 안건관련 업무협의,9,98000,10888.888888888889,제로페이,시책,false,true,
2022-04-20-1c6006,2022-04-14,12:03:54,2022-04,4,12,홍보담당,시카고커리,시카고커리,지역매체 보도 관련 협의,4,60000,15000,제로페이,시책,false,false,amount_method_merged
2022-04-40-b182e7,2022-04-28,11:58:44,2022-04,4,11,홍보담당,남수,남수,아나운서 의정뉴스 관련 간담회,3,34000,11333.333333333334,제로페이,시책,false,false,
2022-07-x-32ec63,2022-07-01,12:21:39,2022-07,5,12,의사담당,참숯갈비 화로촌,참숯갈비화로촌,제314회 임시회(의장단 선거 준비) 업무 협의,5,61000,12200,제로페이,시책,false,false,seq_corrupt
2022-07-2-add6a8,2022-07-01,16:07:18,2022-07,5,16,서무주임,카페노란코끼리,카페노란코끼리,제9대 의회 등원식 관련 유관기관 관계자 업무협의,5,15400,3080,카드,시책,false,false,
2022-07-3-4abb76,2022-07-04,12:04:12,2022-07,1,12,의사담당,나주곰탕 나주전,나주곰탕나주전,제315회 임시회(행정사무감사 목록) 업무 협의,3,46000,15333.333333333334,제로페이,시책,false,false,
2022-07-4-548401,2022-07-04,15:47:06,2022-07,1,15,회계담당,도미노피자행당점,도미노피자행당점,제314회 임시회 의장단 선거준비 관련 직원 간식 구매,31,230440,7433.548387096775,카드,시책,false,false,
2022-07-5-5285f6,2022-07-04,19:56:10,2022-07,1,19,행정기획전문위원,청마루한우,청마루한우,의안자료 수집 및 의정활동 자료수집 관련 업무협의,3,33000,11000,카드,시책,false,false,
2022-07-6-d31c58,2022-07-05,11:49:56,2022-07,2,11,의사팀장,우리식당,우리식당,제314회 임시회 관련(사무국 직원 업무분장) 협의,6,63000,10500,제로페이,시책,false,false,
2022-07-7-51a57a,2022-07-05,20:09:09,2022-07,2,20,서무주임,청마루한우,청마루한우,제9대 의회 개원식 관련 유관기관 관계자 업무협의,4,115000,28750,카드,시책,false,false,
2022-07-8-f9fcff,2022-07-06,11:58:04,2022-07,3,11,홍보담당,평양냉면,평양냉면,의회홈페이지 개편 관련 협의,4,39000,9750,법인카드,시책,false,false,
2022-07-9-54d2ec,2022-07-06,12:08:17,2022-07,3,12,회계담당,시그널커피,시그널커피,방문민원인 및 업무 관계자용 음료 구입,31,90000,2903.2258064516127,카드,시책,false,false,
2022-07-10-b20e5a,2022-07-06,18:47:24,2022-07,3,18,행정기획전문위원,경성농장,경성농장,의안자료 수집 및 의정활동 자료수집 관련 업무협의,3,27000,9000,카드,시책,false,false,
2022-07-11-19db75,2022-07-06,20:16:21,2022-07,3,20,복지건설전문위원,고가네곱창,고가네곱창,의안자료 수집 및 의정활동 자료수집 관련 업무협의,3,53000,17666.666666666668,카드,시책,false,false,
2022-07-12-fd810f,2022-07-07,12:10:20,2022-07,4,12,서무주임,왕순대,왕순대,제9대 의회 개원식 관련 유관기관 관계자 업무협의,5,64000,12800,카드,시책,false,false,
2022-07-13-ba2e48,2022-07-07,12:35:12,2022-07,4,12,회계담당,남원추어탕,남원추어탕,의회현안 관련 직원 및 의원 간담회,7,131000,18714.285714285714,카드,시책,false,false,
