rank_by_amount,rank_by_count,display_name,venue_norm,total_amount,total_count,avg_amount,avg_per_person,first_used,last_used
1,1,청마루한우,청마루한우,19995500,125,159964,17389.648514840937,2022-07-12,2026-02-26
2,2,최강낙지,최강낙자,9606000,71,135295.77464788733,15749.553779553782,2022-07-14,2026-02-02
3,51,마루샤브 용두직영점,마루샤브용두직영점,6915800,5,1383160,29302.662642521795,2023-02-13,2025-07-16
4,3,경성농장,경성농장,5679400,47,120838.29787234042,14672.726222417303,2022-07-25,2026-01-29
5,4,참숯갈비화로촌,참숯갈비화로촌,5585000,46,121413.04347826086,14439.679007860825,2022-09-15,2026-01-30
6,5,옥돌,옥돌,3850000,37,104054.05405405405,11819.655741084312,2023-04-28,2025-05-29
7,12,할머니홍어집,할머니홍어집,3564000,24,148500,17002.779955682432,2022-08-10,2025-09-16
8,17,조영환의대양한방숯불,조영환의대양한방숯불갈비,3376000,18,187555.55555555556,19405.91676841677,2022-08-26,2025-03-17
9,10,우리식당,우리식당,3317000,29,114379.31034482758,12054.08370365267,2022-12-26,2025-07-18
10,9,우정김밥분식,우정김밥분식,2618000,30,87266.66666666667,9173.905492111377,2022-08-26,2025-09-10
11,33,장어시대,장어시대,2578000,10,257800,26212.85714285714,2023-06-22,2025-06-23
12,7,나주곰탕 나주전,나주곰탕나주전,2435000,31,78548.3870967742,13800.216450216452,2022-07-26,2026-02-04
13,13,중국성,중국성,2379500,21,113309.52380952382,12811.45975484211,2022-07-19,2026-02-03
14,11,친친,친친,2085000,26,80192.30769230769,13286.0347985348,2022-07-26,2025-10-21
15,28,고기여행,고기여행,2040000,12,170000,18184.09090909091,2022-08-23,2026-01-21
16,23,여우애 김밥,여우애김밥,1985000,15,132333.33333333334,9283.256558256557,2022-10-25,2025-06-17
17,8,카페노란코끼리,카페노란코끼리,1925932.7,31,62126.86129032258,6024.864044685472,2022-10-31,2025-07-31
18,6,왕순대,왕순대,1903081,32,59471.28125,10901.382488479263,2022-07-20,2025-09-08
19,44,경동한우,경동한우,1884000,6,314000,20185.990338164254,2022-08-23,2026-02-24
20,39,청마루,청마루,1849800,8,231225,18812.6559714795,2023-12-26,2026-02-05
21,18,"용두동동태탕, 동태찜","용두동동태탕,동태찜",1811000,18,100611.11111111111,11501.388888888889,2022-08-18,2025-09-15
22,20,가도,가도,1754000,17,103176.4705882353,17916.806722689078,2022-07-26,2024-06-13
23,19,조가네 부대찌개,조가네부대찌개,1695000,18,94166.66666666667,11443.892045454548,2023-01-31,2026-01-15
24,21,남원,남원,1644000,16,102750,12989.627915943707,2023-11-14,2025-06-27
25,14,남원추어탕,남원추어탕,1525000,19,80263.15789473684,14015.831244778614,2022-11-01,2025-08-28
26,25,남수,남수,1376000,14,98285.71428571429,15407.48299319728,2022-07-12,2025-07-11
27,139,한양출장외식,한양출장외식,1350000,1,1350000,30000,2023-05-02,2023-05-02
28,45,부산횟집,부산횟집,1279000,6,213166.66666666666,22672.222222222223,2023-01-09,2023-07-13
29,15,반달식당,반달식당,1259000,19,66263.15789473684,9986.783804430863,2022-11-14,2026-02-13
30,78,떡향기,떡향기,1250000,3,416666.6666666667,5401.785714285714,2023-07-14,2025-07-16
31,26,시카고커리,시카고커리,1223900,13,94146.15384615384,13678.57142857143,2022-08-18,2026-01-15
32,99,주식회사해저식품,주식회사해저식품,1215000,2,607500,15000,2025-09-25,2026-02-05
33,27,산천가든,산천가든,1131000,13,87000,15891.025641025639,2022-10-11,2025-09-11
34,22,제주은희네해장국,제주은희네해장국,1083000,16,67687.5,12287.599206349207,2022-08-19,2025-09-30
35,16,홍가네,홍가네,1045000,19,55000,10347.058823529413,2022-10-21,2026-01-05
36,46,홈플러스 동대문점,홈플러스동대문점,1003490,6,167248.33333333334,14638.535714285714,2023-03-22,2025-01-06
37,52,아소정 청량리점,아소정청량리점,922500,5,184500,20150,2024-07-19,2025-05-26
38,79,카페프렌즈,카페프렌즈,891550,3,297183.3333333333,5107.142857142857,2024-06-26,2025-07-16
39,24,시그널커피,시그널커피,883100,15,58873.333333333336,6984.4246031746015,2022-08-16,2026-01-06
40,80,남원정통추어탕,남원정통추어탕,866000,3,288666.6666666667,12742.349048800663,2023-01-01,2026-01-01
41,81,함경면옥,함경면옥,857000,3,285666.6666666667,18183.529411764706,2022-10-28,2025-04-19
42,62,화로촌,화로촌,847000,4,211750,21053.308823529413,2024-06-25,2025-03-13
43,63,마포주물럭,마포주물럭,814000,4,203500,20953.92156862745,2022-09-15,2025-09-17
